Date,rstar_reported,rstar_ma4,rstar_arima101,rstar_spf_cpi1y
1961-04-01,,,,
1961-07-01,,,,
1961-10-01,,,,
1962-01-01,,,,
1962-04-01,,,,
1962-07-01,,,,
1962-10-01,,,,
1963-01-01,,,,
1963-04-01,,,,
1963-07-01,,,,
1963-10-01,,,,
1964-01-01,,,,
1964-04-01,,,,
1964-07-01,,,,
1964-10-01,,,,
1965-01-01,,,,
1965-04-01,,,,
1965-07-01,,,,
1965-10-01,,,,
1966-01-01,,,,
1966-04-01,,,,
1966-07-01,,,,
1966-10-01,,,,
1967-01-01,,,,
1967-04-01,,,,
1967-07-01,,,,
1967-10-01,,,,
1968-01-01,,,,
1968-04-01,,,,
1968-07-01,,,,
1968-10-01,,,,
1969-01-01,,,,
1969-04-01,,,,
1969-07-01,,,,
1969-10-01,,,,
1970-01-01,,,,
1970-04-01,,,,
1970-07-01,,,,
1970-10-01,,,,
1971-01-01,,,,
1971-04-01,,,,
1971-07-01,,,,
1971-10-01,,,,
1972-01-01,,,,
1972-04-01,,,,
1972-07-01,,,,
1972-10-01,,,,
1973-01-01,,,,
1973-04-01,,,,
1973-07-01,,,,
1973-10-01,,,,
1974-01-01,,,,
1974-04-01,,,,
1974-07-01,,,,
1974-10-01,,,,
1975-01-01,,,,
1975-04-01,,,,
1975-07-01,,,,
1975-10-01,,,,
1976-01-01,,,,
1976-04-01,,,,
1976-07-01,,,,
1976-10-01,,,,
1977-01-01,,,,
1977-04-01,,,,
1977-07-01,,,,
1977-10-01,,,,
1978-01-01,,,,
1978-04-01,,,,
1978-07-01,,,,
1978-10-01,,,,
1979-01-01,,,,
1979-04-01,,,,
1979-07-01,,,,
1979-10-01,,,,
1980-01-01,,,,
1980-04-01,,,,
1980-07-01,,,,
1980-10-01,,,,
1981-01-01,,,,
1981-04-01,,,,
1981-07-01,,,,
1981-10-01,,,,
1982-01-01,,,,
1982-04-01,,,,
1982-07-01,,,,
1982-10-01,,,,
1983-01-01,,,,
1983-04-01,,,,
1983-07-01,,,,
1983-10-01,,,,
1984-01-01,,,,
1984-04-01,,,,
1984-07-01,,,,
1984-10-01,,,,
1985-01-01,,,,
1985-04-01,,,,
1985-07-01,,,,
1985-10-01,,,,
1986-01-01,,,,
1986-04-01,,,,
1986-07-01,,,,
1986-10-01,,,,
1987-01-01,,,,
1987-04-01,,,,
1987-07-01,,,,
1987-10-01,,,,
1988-01-01,,,,
1988-04-01,,,,
1988-07-01,,,,
1988-10-01,,,,
1989-01-01,,,,
1989-04-01,,,,
1989-07-01,,,,
1989-10-01,,,,
1990-01-01,,,,
1990-04-01,,,,
1990-07-01,,,,
1990-10-01,,,,
1991-01-01,,,,
1991-04-01,,,,
1991-07-01,,,,
1991-10-01,,,,
1992-01-01,,,,
1992-04-01,,,,
1992-07-01,,,,
1992-10-01,,,,
1993-01-01,,,,
1993-04-01,,,,
1993-07-01,,,,
1993-10-01,,,,
1994-01-01,,,,
1994-04-01,,,,
1994-07-01,,,,
1994-10-01,,,,
1995-01-01,,,,
1995-04-01,,,,
1995-07-01,,,,
1995-10-01,,,,
1996-01-01,,,,
1996-04-01,,,,
1996-07-01,,,,
1996-10-01,,,,
1997-01-01,,,,
1997-04-01,,,,
1997-07-01,,,,
1997-10-01,,,,
1998-01-01,,,,
1998-04-01,,,,
1998-07-01,,,,
1998-10-01,,,,
1999-01-01,,,,
1999-04-01,,,,
1999-07-01,,,,
1999-10-01,,,,
2000-01-01,,,,
2000-04-01,,,,
2000-07-01,,,,
2000-10-01,,,,
2001-01-01,,,,
2001-04-01,,,,
2001-07-01,,,,
2001-10-01,,,,
2002-01-01,,,,
2002-04-01,,,,
2002-07-01,,,,
2002-10-01,,,,
2003-01-01,,,,
2003-04-01,,,,
2003-07-01,,,,
2003-10-01,,,,
2004-01-01,,,,
2004-04-01,,,,
2004-07-01,,,,
2004-10-01,,,,
2005-01-01,,,,
2005-04-01,,,,
2005-07-01,,,,
2005-10-01,,,,
2006-01-01,,,,
2006-04-01,,,,
2006-07-01,,,,
2006-10-01,,,,
2007-01-01,,,,
2007-04-01,,,,
2007-07-01,,,,
2007-10-01,,,,
2008-01-01,,,,
2008-04-01,,,,
2008-07-01,,,,
2008-10-01,,,,
2009-01-01,,,,
2009-04-01,,,,
2009-07-01,,,,
2009-10-01,,,,
2010-01-01,,,,
2010-04-01,,,,
2010-07-01,-1.7405059289790027e+298,,,-1.7405059289790027e+298
2010-10-01,-1.7404970173757332e+298,,,-1.7404970173757332e+298
2011-01-01,-3.4263413641569075e+283,,,-3.4263413641569075e+283
2011-04-01,-3.737958917494776e+283,,,-3.737958917494776e+283
2011-07-01,-4.070387928648895e+283,,,-4.070387928648895e+283
2011-10-01,-4.6490679666086664e+281,,,-4.6490679666086664e+281
2012-01-01,1.7916522074398955e+282,,,1.7916522074398955e+282
2012-04-01,1.791503875184503e+282,,,1.791503875184503e+282
2012-07-01,2.784727282911596e+267,,,2.784727282911596e+267
2012-10-01,-2.7689411262341766e+251,,,-2.7689411262341766e+251
2013-01-01,-4.1055000038521434e+235,,,-4.1055000038521434e+235
2013-04-01,-3.0246834344456116e+219,,,-3.0246834344456116e+219
2013-07-01,-5.167103726978583e+202,,,-5.167103726978583e+202
2013-10-01,2.737740171162709e+203,,,2.737740171162709e+203
2014-01-01,2.7376610183482943e+203,,,2.7376610183482943e+203
2014-04-01,-6.572334825323519e+185,,,-6.572334825323519e+185
2014-07-01,-6.42380248222967e+185,,,-6.42380248222967e+185
2014-10-01,-6.266315077305756e+185,,,-6.266315077305756e+185
2015-01-01,-8.65492244931777e+185,,,-8.65492244931777e+185
2015-04-01,-9.513575935728709e+185,,,-9.513575935728709e+185
2015-07-01,-9.513598612682964e+185,,,-9.513598612682964e+185
2015-10-01,1.587171929217298e+170,,,1.587171929217298e+170
2016-01-01,1.563741004845e+170,,,1.563741004845e+170
2016-04-01,1.5389967181469476e+170,,,1.5389967181469476e+170
2016-07-01,2.1608210494211395e+170,,,2.1608210494211395e+170
2016-10-01,2.3323627833725548e+170,,,2.3323627833725548e+170
2017-01-01,2.3323483401687032e+170,,,2.3323483401687032e+170
2017-04-01,6.934277853774743e+154,,,6.934277853774743e+154
2017-07-01,6.934269169902725e+154,,,6.934269169902725e+154
2017-10-01,-1.1351174994399625e+138,,,-1.1351174994399625e+138
2018-01-01,-1.1220418655433807e+138,,,-1.1220418655433807e+138
2018-04-01,-1.5109085194059914e+138,,,-1.5109085194059914e+138
2018-07-01,-1.5143293224010295e+138,,,-1.5143293224010295e+138
2018-10-01,-1.5143277351100108e+138,,,-1.5143277351100108e+138
2019-01-01,-2.5134656082729152e+122,,,-2.5134656082729152e+122
2019-04-01,-2.5134888766984052e+122,,,-2.5134888766984052e+122
2019-07-01,1.744194715399019e+106,,,1.744194715399019e+106
2019-10-01,1.0841246264531269e+106,,,1.0841246264531269e+106
2020-01-01,1.0237214121368108e+107,,,1.0237214121368108e+107
2020-04-01,6.48076828150983e+106,,,6.48076828150983e+106
2020-07-01,6.480835783689781e+106,,,6.480835783689781e+106
2020-10-01,-3.2154853865603844e+91,,,-3.2154853865603844e+91
2021-01-01,-2.2476419766372322e+91,,,-2.2476419766372322e+91
2021-04-01,-2.2477711834930883e+91,,,-2.2477711834930883e+91
2021-07-01,4.6810526986012813e+76,,,4.6810526986012813e+76
2021-10-01,4.364946559597987e+60,,,4.364946559597987e+60
2022-01-01,-4.327375076776238e+45,,,-4.327375076776238e+45
2022-04-01,-4.4268570034126204e+45,,,-4.4268570034126204e+45
2022-07-01,-4.531280973651013e+45,,,-4.531280973651013e+45
2022-10-01,-4.6409507399438284e+45,,,-4.6409507399438284e+45
2023-01-01,-4.7579915768568404e+45,,,-4.7579915768568404e+45
2023-04-01,-4.884401373827203e+45,,,-4.884401373827203e+45
2023-07-01,-3.7962673620821685e+45,,,-3.7962673620821685e+45
2023-10-01,-3.960704290349574e+45,,,-3.960704290349574e+45
2024-01-01,-3.960679725545328e+45,,,-3.960679725545328e+45
2024-04-01,-1.8409772420664773e+30,,,-1.8409772420664773e+30
2024-07-01,-1.841010472294086e+30,,,-1.841010472294086e+30
2024-10-01,474364823542787.56,,,474364823542787.56
2025-01-01,474355040753367.4,,,474355040753367.4
2025-04-01,-28.269075723010396,,,-28.269075723010396
2025-07-01,-28.26907572234147,,,-28.26907572234147
